table,column,text
mmember_folder_portfolios,url,string
mmember_portfolios,url_file,string
mmember_portfolios,url_thumbnail,string
mmember_portfolios,thumbnail_image,string
mmembers,url_avatar_full,string
mmembers,url_avatar_thumbnail,string
mmembers,ektp_image_url,string
mmembers,npwp_image_url,string
msubcategories,main_asset_url,string
msubcategories,fallback_asset_url,string
contest_packages,image_url,string
contest_features,image_url,string
invoice_attachments,url_file,string
invoice_attachments,url_file_webp,string
invoice_client_details,url_thumbnail,string
invoice_freelancer_details,url_thumbnail,string
gigs_packages_portfolios,url,string
gigs_packages_portfolios,url_webp,string
gigs_clients,logo_url,string
workspace_activities,final_delivery_url,string
user_profile_files,avatar_url,string
bank_account_files,file_url,string
bank_account_files,file_url_wep,string